Index,SOFile,GitFile,Line
3941,InitialSO.csv3941.txt,InitialGit.csv3941.txt,4
3942,InitialSO.csv3942.txt,InitialGit.csv3942.txt,4
3943,InitialSO.csv3943.txt,InitialGit.csv3943.txt,4
3944,InitialSO.csv3944.txt,InitialGit.csv3944.txt,4
3945,InitialSO.csv3945.txt,InitialGit.csv3945.txt,7
3947,InitialSO.csv3947.txt,InitialGit.csv3947.txt,10
3952,InitialSO.csv3952.txt,InitialGit.csv3952.txt,4
3953,InitialSO.csv3953.txt,InitialGit.csv3953.txt,4
3956,InitialSO.csv3956.txt,InitialGit.csv3956.txt,23
3959,InitialSO.csv3959.txt,InitialGit.csv3959.txt,3
3962,InitialSO.csv3962.txt,InitialGit.csv3962.txt,29
3963,InitialSO.csv3963.txt,InitialGit.csv3963.txt,7
3964,InitialSO.csv3964.txt,InitialGit.csv3964.txt,6
3965,InitialSO.csv3965.txt,InitialGit.csv3965.txt,6
3966,InitialSO.csv3966.txt,InitialGit.csv3966.txt,6
3967,InitialSO.csv3967.txt,InitialGit.csv3967.txt,10
3968,InitialSO.csv3968.txt,InitialGit.csv3968.txt,10
3970,InitialSO.csv3970.txt,InitialGit.csv3970.txt,14
3973,InitialSO.csv3973.txt,InitialGit.csv3973.txt,16
3974,InitialSO.csv3974.txt,InitialGit.csv3974.txt,11
3976,InitialSO.csv3976.txt,InitialGit.csv3976.txt,4
3979,InitialSO.csv3979.txt,InitialGit.csv3979.txt,3
3981,InitialSO.csv3981.txt,InitialGit.csv3981.txt,7
3982,InitialSO.csv3982.txt,InitialGit.csv3982.txt,7
3983,InitialSO.csv3983.txt,InitialGit.csv3983.txt,7
3984,InitialSO.csv3984.txt,InitialGit.csv3984.txt,8
3986,InitialSO.csv3986.txt,InitialGit.csv3986.txt,6
3987,InitialSO.csv3987.txt,InitialGit.csv3987.txt,6
3988,InitialSO.csv3988.txt,InitialGit.csv3988.txt,4
3989,InitialSO.csv3989.txt,InitialGit.csv3989.txt,5
3990,InitialSO.csv3990.txt,InitialGit.csv3990.txt,5
3991,InitialSO.csv3991.txt,InitialGit.csv3991.txt,5
3993,InitialSO.csv3993.txt,InitialGit.csv3993.txt,9
3994,InitialSO.csv3994.txt,InitialGit.csv3994.txt,11
4068,InitialSO.csv4068.txt,InitialGit.csv4068.txt,3
4074,InitialSO.csv4074.txt,InitialGit.csv4074.txt,4
4088,InitialSO.csv4088.txt,InitialGit.csv4088.txt,3
4090,InitialSO.csv4090.txt,InitialGit.csv4090.txt,3
4092,InitialSO.csv4092.txt,InitialGit.csv4092.txt,3
4093,InitialSO.csv4093.txt,InitialGit.csv4093.txt,3
4094,InitialSO.csv4094.txt,InitialGit.csv4094.txt,3
4095,InitialSO.csv4095.txt,InitialGit.csv4095.txt,3
4112,InitialSO.csv4112.txt,InitialGit.csv4112.txt,4
4117,InitialSO.csv4117.txt,InitialGit.csv4117.txt,10
4154,InitialSO.csv4154.txt,InitialGit.csv4154.txt,3
4156,InitialSO.csv4156.txt,InitialGit.csv4156.txt,12
4157,InitialSO.csv4157.txt,InitialGit.csv4157.txt,22
4159,InitialSO.csv4159.txt,InitialGit.csv4159.txt,8
4160,InitialSO.csv4160.txt,InitialGit.csv4160.txt,20
4166,InitialSO.csv4166.txt,InitialGit.csv4166.txt,20
4167,InitialSO.csv4167.txt,InitialGit.csv4167.txt,20
4168,InitialSO.csv4168.txt,InitialGit.csv4168.txt,20
4169,InitialSO.csv4169.txt,InitialGit.csv4169.txt,20
4170,InitialSO.csv4170.txt,InitialGit.csv4170.txt,20
4171,InitialSO.csv4171.txt,InitialGit.csv4171.txt,6
4172,InitialSO.csv4172.txt,InitialGit.csv4172.txt,6
4173,InitialSO.csv4173.txt,InitialGit.csv4173.txt,26
4174,InitialSO.csv4174.txt,InitialGit.csv4174.txt,5
4181,InitialSO.csv4181.txt,InitialGit.csv4181.txt,5
4185,InitialSO.csv4185.txt,InitialGit.csv4185.txt,5
4187,InitialSO.csv4187.txt,InitialGit.csv4187.txt,3
4984,InitialSO.csv4984.txt,InitialGit.csv4984.txt,15
4985,InitialSO.csv4985.txt,InitialGit.csv4985.txt,15
4986,InitialSO.csv4986.txt,InitialGit.csv4986.txt,15
4987,InitialSO.csv4987.txt,InitialGit.csv4987.txt,5
4988,InitialSO.csv4988.txt,InitialGit.csv4988.txt,5
5035,InitialSO.csv5035.txt,InitialGit.csv5035.txt,4
5036,InitialSO.csv5036.txt,InitialGit.csv5036.txt,245
5038,InitialSO.csv5038.txt,InitialGit.csv5038.txt,88
5039,InitialSO.csv5039.txt,InitialGit.csv5039.txt,88
5040,InitialSO.csv5040.txt,InitialGit.csv5040.txt,33
5041,InitialSO.csv5041.txt,InitialGit.csv5041.txt,8
5044,InitialSO.csv5044.txt,InitialGit.csv5044.txt,3
5045,InitialSO.csv5045.txt,InitialGit.csv5045.txt,9
5046,InitialSO.csv5046.txt,InitialGit.csv5046.txt,9
5047,InitialSO.csv5047.txt,InitialGit.csv5047.txt,9
5048,InitialSO.csv5048.txt,InitialGit.csv5048.txt,9
5049,InitialSO.csv5049.txt,InitialGit.csv5049.txt,9
5050,InitialSO.csv5050.txt,InitialGit.csv5050.txt,9
5051,InitialSO.csv5051.txt,InitialGit.csv5051.txt,9
5052,InitialSO.csv5052.txt,InitialGit.csv5052.txt,9
5053,InitialSO.csv5053.txt,InitialGit.csv5053.txt,9
5054,InitialSO.csv5054.txt,InitialGit.csv5054.txt,13
5056,InitialSO.csv5056.txt,InitialGit.csv5056.txt,3
5058,InitialSO.csv5058.txt,InitialGit.csv5058.txt,7
5064,InitialSO.csv5064.txt,InitialGit.csv5064.txt,20
5065,InitialSO.csv5065.txt,InitialGit.csv5065.txt,3
5066,InitialSO.csv5066.txt,InitialGit.csv5066.txt,3
5069,InitialSO.csv5069.txt,InitialGit.csv5069.txt,4
5071,InitialSO.csv5071.txt,InitialGit.csv5071.txt,4
5072,InitialSO.csv5072.txt,InitialGit.csv5072.txt,4
5073,InitialSO.csv5073.txt,InitialGit.csv5073.txt,4
5075,InitialSO.csv5075.txt,InitialGit.csv5075.txt,19
5076,InitialSO.csv5076.txt,InitialGit.csv5076.txt,19
5077,InitialSO.csv5077.txt,InitialGit.csv5077.txt,19
5078,InitialSO.csv5078.txt,InitialGit.csv5078.txt,19
5079,InitialSO.csv5079.txt,InitialGit.csv5079.txt,7
5080,InitialSO.csv5080.txt,InitialGit.csv5080.txt,3
5081,InitialSO.csv5081.txt,InitialGit.csv5081.txt,16
5082,InitialSO.csv5082.txt,InitialGit.csv5082.txt,16
5086,InitialSO.csv5086.txt,InitialGit.csv5086.txt,8
5088,InitialSO.csv5088.txt,InitialGit.csv5088.txt,3
5093,InitialSO.csv5093.txt,InitialGit.csv5093.txt,4
5097,InitialSO.csv5097.txt,InitialGit.csv5097.txt,3
5098,InitialSO.csv5098.txt,InitialGit.csv5098.txt,3
5099,InitialSO.csv5099.txt,InitialGit.csv5099.txt,3
5100,InitialSO.csv5100.txt,InitialGit.csv5100.txt,17
5101,InitialSO.csv5101.txt,InitialGit.csv5101.txt,3
5104,InitialSO.csv5104.txt,InitialGit.csv5104.txt,18
5105,InitialSO.csv5105.txt,InitialGit.csv5105.txt,18
5120,InitialSO.csv5120.txt,InitialGit.csv5120.txt,17
5121,InitialSO.csv5121.txt,InitialGit.csv5121.txt,17
5122,InitialSO.csv5122.txt,InitialGit.csv5122.txt,8
5124,InitialSO.csv5124.txt,InitialGit.csv5124.txt,5
